355;"Blue Point Brewing Company";"Patchogue";"NY"
356;"Matt Brewing Company";"Utica";"NY"
357;"Keweenaw Brewing Company";"Houghton";"MI"
358;"Tampa Bay Brewing Company";"Tampa";"FL"
359;"Banner Beer Company";"Williamsburg";"MA"
360;"Cans Bar and Canteen";"Charlotte";"NC"
361;"Saint Archer Brewery";"San Diego";"CA"
362;"Minhas Craft Brewery";"Monroe";"WI"
363;"3 Daughters Brewing";"St Petersburg";"FL"
364;"Seventh Son Brewing Company";"Columbus";"OH"
365;"Breckenridge Brewery";"Denver";"CO"
366;"Jackie O's Pub & Brewery";"Athens";"OH"
367;"Deschutes Brewery";"Bend";"OR"
368;"Upstate Brewing Company";"Elmira";"NY"
369;"Tallgrass Brewing Company";"Manhattan";"KS"
370;"Founders Brewing Company";"Grand Rapids";"MI"
371;"Mustang Brewing Company";"Mustang";"OK"
372;"Four String Brewing Company";"Columbus";"OH"
373;"Frog Level Brewing Company";"Waynesville";"NC"
374;"Renegade Brewing Company";"Denver";"CO"
375;"Kenai River Brewing Company";"Soldotna";"AK"
376;"Santa Cruz Mountain Brewing";"Santa Cruz";"CA"
377;"Flying Mouse Brewery";"Troutville";"VA"
378;"Finch's Beer Company";"Chicago";"IL"
379;"Aviator Brewing Company";"Fuquay-Varina";"NC"
380;"Southampton Publick House";"Southampton";"NY"
381;"Cedar Creek Brewery";"Seven Points";"TX"
382;"Heavy Seas Beer";"Halethorpe";"MD"
383;"Tapistry Brewing";"Bridgman";"MI"
384;"Weston Brewing Company";"Weston";"MO"
385;"Two Roads Brewing Company";"Stratford";"CT"
386;"Stillmank Beer Company";"Green Bay";"WI"
387;"Bolero Snort Brewery";"Ridgefield Park";"NJ"
388;"Burnside Brewing Co.";"Portland";"OR"
389;"RoughTail Brewing Company";"Midwest City";"OK"
390;"Birdsong Brewing Company";"Charlotte";"NC"
391;"Aslan Brewing Company";"Bellingham";"WA"
392;"Stevens Point Brewery";"Stevens Point";"WI"
393;"Bomb Beer Company";"New York";"NY"
394;"Modern Times Beer";"San Diego";"CA"
395;"Temperance Beer Company";"Evanston";"IL"
396;"Forgotten Boardwalk";"Cherry Hill";"NJ"
397;"Dry Dock Brewing Company";"Aurora";"CO"
398;"Baxter Brewing Company";"Lewiston";"ME"
399;"Intuition Ale Works";"Jacksonville";"FL"
400;"Three Creeks Brewing";"Sisters";"OR"
401;"Devil's Backbone Brewing Company";"Lexington";"VA"
402;"The Just Beer Project";"Burlington";"VT"
403;"Downeast Cider House";"Leominster";"MA"
404;"COOP Ale Works";"Oklahoma City";"OK"
405;"Orlison Brewing Company";"Airway Heights";"WA"
406;"Lift Bridge Brewing Company";"Stillwater";"MN"
407;"Otter Creek Brewing";"Middlebury";"VT"
408;"Flesk Brewing Company";"Lombard";"IL"
409;"Voodoo Brewery";"Meadville";"PA"
410;"Marble Brewery";"Albuquerque";"NM"
411;"SlapShot Brewing Company";"Chicago";"IL"
412;"Gonzo's BiggDogg Brewing";"Kalamazoo";"MI"
413;"Coalition Brewing Company";"Portland";"OR"
414;"Oasis Texas Brewing Company";"Austin";"TX"
415;"Hawai'i Nui Brewing Co.";"Hilo";"HI"
416;"Butternuts Beer and Ale";"Garrattsville";"NY"
417;"Refuge Brewery";"Temecula";"CA"
418;"Southern Prohibition Brewing Com...";"Hattiesburg";"MS"
419;"Red Shedman Farm Brewery and Hop...";"Mt. Airy";"MD"
420;"Nebraska Brewing Company";"Papillion";"NE"
421;"South Austin Brewery";"South Austin";"TX"
422;"Macon Beer Company";"Macon";"GA"
423;"MillKing It Productions";"Royal Oak";"MI"
